Year,Name,Chinese Name,JMA ID,"Highest TC Warning Signal Issued During this Passage",Times of Passages,"Issuance Date of First TC Warning Signal During this Passage","Cancellation Date of all TC Warning Signal During this Passage","Duration of all Issued TC Warning Signals During this Passage (hh:mm)","Lifespan Max Intensity Classification","Estimated Min Central Pressure of the TC (hPa) when Closest to HK","Closest Distance to HK (km)","Closest Approach Bearing"
2008,Fengshen,風神,0806,8,1,23/06/2008,25/06/2008,62:35,ST,980,25,E
2008,Kammuri,北冕,0809,8,1,04/08/2008,07/08/2008,69:00,STS,975,130,SSW
2008,Nuri,鸚鵡,0812,9,1,20/08/2008,23/08/2008,65:00,T,981,1,S
2008,Hagupit,黑格比,0814,8,1,22/09/2008,24/09/2008,42:10,ST,940,180,SSW
2008,Higos,海高斯,0817,1,1,02/10/2008,04/10/2008,51:00,TS,1000,350,WSW
2009,Linfa,蓮花,0903,1,1,20/06/2009,21/06/2009,19:05,STS,980,380,ESE
2009,Nangka,浪卡,0904,3,1,26/06/2009,27/06/2009,22:10,TS,998,60,NE
2009,Soudelor,蘇迪羅,0905,3,1,10/07/2009,12/07/2009,36:35,TS,990,240,S
2009,Molave,莫拉菲,0906,9,1,17/07/2009,19/07/2009,39:00,T,970,40,NNE
2009,Goni,天鵝,0907,8,1,03/08/2009,05/08/2009,48:45,STS,975,110,SW
2009,Mujigae,彩虹,0913,3,1,10/09/2009,11/09/2009,25:50,TS,995,330,S
2009,Koppu,巨爵,0915,8,1,13/09/2009,15/09/2009,43:05,T,960,130,SSW
2009,Ketsana,凱薩娜,0916,1,1,27/09/2009,28/09/2009,21:00,T,980,720,S
2010,Conson,康森,1002,1,1,15/07/2010,16/07/2010,25:55,T,975,630,S
2010,Chanthu,燦都,1003,3,1,20/07/2010,22/07/2010,50:25,T,970,330,SW
2010,Lionrock,獅子山,1006,1,1,29/08/2010,30/08/2010,32:35,STS,996,290,SE
2010,Lionrock,獅子山,1006,1,2,02/09/2010,03/09/2010,20:00,STS,1000,150,NNW
2010,Fanapi,凡亞比,1011,3,1,19/09/2010,21/09/2010,39:00,ST,996,150,N
2010,Megi,鮎魚,1013,3,1,20/10/2010,22/10/2010,52:05,SuperT,975,410,ESE
2011,Sarika,莎莉嘉,1103,1,1,10/06/2011,11/06/2011,21:35,TS,996,280,ENE
2011,Haima,海馬,1104,3,1,20/06/2011,23/06/2011,71:10,TS,985,240,SSW
2011,Nock-ten,洛坦,1108,3,1,28/07/2011,29/07/2011,32:00,STS,980,440,SW
